rank,count,secop
298,17,null-ptr-check
299,17,null-ptr-check
300,17,null-ptr-check
301,17,null-ptr-check
302,17,null-ptr-check
303,17,null-ptr-check
304,17,null-ptr-check
305,17,null-ptr-check
306,17,null-ptr-check
307,17,null-ptr-check
308,17,null-ptr-check
309,17,null-ptr-check
310,17,of_node_put
311,17,of_node_put
312,16,err-ptr-check
313,16,err-ptr-check
314,16,kfree
315,16,kfree
316,16,kfree
317,16,negative-check
318,16,negative-check
319,16,negative-check
320,16,negative-check
321,16,negative-check
322,16,negative-check
323,16,negative-check
324,16,null-ptr-check
325,16,null-ptr-check
326,16,null-ptr-check
327,16,null-ptr-check
328,16,null-ptr-check
329,16,null-ptr-check
330,16,null-ptr-check
331,16,null-ptr-check
332,16,null-ptr-check
333,16,null-ptr-check
334,16,null-ptr-check
335,16,of_node_put
336,15,err-ptr-check
337,15,err-ptr-check
338,15,negative-check
339,15,negative-check
340,15,negative-check
341,15,negative-check
342,15,negative-check
343,15,negative-check
344,15,negative-check
345,15,null-ptr-check
346,15,null-ptr-check
347,15,null-ptr-check
348,15,null-ptr-check
349,15,null-ptr-check
350,15,null-ptr-check
351,15,null-ptr-check
352,14,err-ptr-check
353,14,err-ptr-check
354,14,err-ptr-check
355,14,err-ptr-check
356,14,negative-check
357,14,negative-check
358,14,negative-check
359,14,negative-check
360,14,negative-check
361,14,negative-check
362,14,negative-check
363,14,negative-check
364,14,negative-check
365,14,negative-check
366,14,negative-check
367,14,negative-check
368,14,negative-check
369,14,negative-check
370,14,null-ptr-check
371,14,null-ptr-check
372,14,null-ptr-check
373,14,null-ptr-check
374,14,null-ptr-check
375,14,null-ptr-check
376,14,null-ptr-check
377,14,of_node_put
378,13,err-ptr-check
379,13,err-ptr-check
380,13,err-ptr-check
381,13,err-ptr-check
382,13,err-ptr-check
383,13,err-ptr-check
384,13,kfree
385,13,negative-check
386,13,negative-check
387,13,negative-check
388,13,negative-check
389,13,negative-check
390,13,null-ptr-check
391,13,null-ptr-check
392,13,null-ptr-check
393,13,null-ptr-check
394,13,null-ptr-check
395,13,null-ptr-check
396,13,null-ptr-check
397,13,null-ptr-check
398,13,null-ptr-check
399,13,null-ptr-check
400,13,null-ptr-check
401,12,err-ptr-check
402,12,err-ptr-check
403,12,err-ptr-check
404,12,err-ptr-check
405,12,err-ptr-check
406,12,err-ptr-check
407,12,err-ptr-check
408,12,err-ptr-check
409,12,err-ptr-check
410,12,err-ptr-check
411,12,err-ptr-check
412,12,err-ptr-check
413,12,kfree
414,12,kfree
415,12,kfree
416,12,negative-check
417,12,negative-check
418,12,negative-check
419,12,negative-check
420,12,negative-check
421,12,negative-check
422,12,negative-check
423,12,negative-check
424,12,negative-check
425,12,negative-check
426,12,negative-check
427,12,negative-check
428,12,negative-check
429,12,negative-check
430,12,negative-check
431,12,negative-check
432,12,negative-check
433,12,null-ptr-check
434,12,null-ptr-check
435,12,null-ptr-check
436,12,null-ptr-check
437,12,null-ptr-check
438,12,null-ptr-check
439,12,null-ptr-check
440,12,null-ptr-check
441,12,null-ptr-check
442,12,null-ptr-check
443,12,null-ptr-check
444,12,null-ptr-check
445,12,null-ptr-check
446,12,null-ptr-check
447,12,null-ptr-check
448,12,of_node_put
449,12,of_node_put
450,11,clk_put
451,11,err-ptr-check
452,11,err-ptr-check
453,11,err-ptr-check
454,11,err-ptr-check
455,11,err-ptr-check
456,11,err-ptr-check
457,11,err-ptr-check
458,11,kfree
459,11,kfree
460,11,kfree
461,11,kfree
462,11,negative-check
463,11,negative-check
464,11,negative-check
465,11,negative-check
466,11,negative-check
467,11,negative-check
468,11,negative-check
469,11,negative-check
470,11,negative-check
471,11,negative-check
472,11,null-ptr-check
473,11,null-ptr-check
474,11,null-ptr-check
475,11,null-ptr-check
476,11,null-ptr-check
477,11,null-ptr-check
478,11,null-ptr-check
479,11,null-ptr-check
480,11,null-ptr-check
481,11,null-ptr-check
482,11,null-ptr-check
483,11,null-ptr-check
484,11,null-ptr-check
485,11,null-ptr-check
486,11,null-ptr-check
487,11,null-ptr-check
488,11,null-ptr-check
489,11,null-ptr-check
490,11,null-ptr-check
491,11,null-ptr-check
492,11,null-ptr-check
493,11,null-ptr-check
494,11,null-ptr-check
495,11,null-ptr-check
496,11,null-ptr-check
497,11,null-ptr-check
498,11,null-ptr-check
499,11,null-ptr-check
500,11,null-ptr-check
501,10,err-ptr-check
502,10,err-ptr-check
503,10,err-ptr-check
504,10,err-ptr-check
505,10,err-ptr-check
506,10,err-ptr-check
507,10,err-ptr-check
508,10,err-ptr-check
509,10,err-ptr-check
510,10,err-ptr-check
511,10,err-ptr-check
512,10,err-ptr-check
513,10,err-ptr-check
514,10,err-ptr-check
515,10,kfree
516,10,kfree
517,10,kfree
518,10,kfree
519,10,negative-check
520,10,negative-check
521,10,negative-check
522,10,negative-check
523,10,negative-check
524,10,negative-check
525,10,negative-check
526,10,negative-check
527,10,negative-check
528,10,negative-check
529,10,negative-check
530,10,negative-check
531,10,negative-check
532,10,negative-check
533,10,negative-check
534,10,negative-check
535,10,negative-check
536,10,negative-check
537,10,negative-check
538,10,negative-check
539,10,negative-check
540,10,null-ptr-check
541,10,null-ptr-check
542,10,null-ptr-check
543,10,null-ptr-check
544,10,null-ptr-check
545,10,null-ptr-check
546,10,null-ptr-check
547,10,null-ptr-check
548,10,null-ptr-check
549,10,null-ptr-check
550,10,null-ptr-check
551,10,null-ptr-check
552,10,null-ptr-check
553,10,null-ptr-check
554,10,null-ptr-check
555,10,null-ptr-check
556,10,null-ptr-check
557,10,null-ptr-check
558,10,null-ptr-check
559,10,null-ptr-check
560,10,null-ptr-check
561,10,null-ptr-check
562,10,null-ptr-check
563,10,null-ptr-check
564,10,null-ptr-check
565,10,null-ptr-check
566,10,null-ptr-check
567,10,null-ptr-check
568,10,null-ptr-check
569,10,null-ptr-check
570,10,null-ptr-check
571,10,of_node_put
572,9,clk_put
573,9,err-ptr-check
574,9,err-ptr-check
575,9,err-ptr-check
576,9,err-ptr-check
577,9,err-ptr-check
578,9,err-ptr-check
579,9,err-ptr-check
580,9,err-ptr-check
581,9,err-ptr-check
582,9,err-ptr-check
583,9,err-ptr-check
584,9,err-ptr-check
585,9,err-ptr-check
586,9,err-ptr-check
587,9,err-ptr-check
588,9,err-ptr-check
589,9,err-ptr-check
590,9,err-ptr-check
591,9,kfree
592,9,kfree
593,9,kfree
594,9,negative-check
595,9,negative-check
596,9,negative-check
597,9,negative-check
598,9,negative-check
599,9,negative-check
600,9,negative-check
601,9,negative-check
602,9,negative-check
603,9,negative-check
604,9,negative-check
605,9,negative-check
606,9,negative-check
607,9,negative-check
608,9,negative-check
609,9,negative-check
610,9,negative-check
611,9,negative-check
612,9,negative-check
613,9,negative-check
614,9,negative-check
615,9,negative-check
616,9,negative-check
617,9,null-ptr-check
618,9,null-ptr-check
619,9,null-ptr-check
620,9,null-ptr-check
621,9,null-ptr-check
622,9,null-ptr-check
623,9,null-ptr-check
624,9,null-ptr-check
625,9,null-ptr-check
626,9,null-ptr-check
627,9,null-ptr-check
628,9,null-ptr-check
629,9,null-ptr-check
630,9,null-ptr-check
631,9,null-ptr-check
632,9,null-ptr-check
633,9,null-ptr-check
634,9,null-ptr-check
635,9,null-ptr-check
